,Traffic lights,Roundabout,Stop sign,Other intersection,Midblock
Fatal,0.1304,0.0435,0.0000,0.1739,0.6522
Hospital,0.1235,0.1201,0.0995,0.2607,0.3962
Medical,0.1050,0.1827,0.1020,0.2400,0.3703
Property,0.1372,0.1258,0.0890,0.2252,0.4229
