,Truck,Motorcycle,Other,Pedestrian,Animal,Bike only
Traffic lights,3.0000,6.0000,443.0000,7.0000,0.0000,13.0000
Roundabout,2.0000,6.0000,482.0000,2.0000,0.0000,10.0000
Stop sign,0.0000,4.0000,319.0000,3.0000,0.0000,10.0000
Other intersection,0.0000,8.0000,789.0000,5.0000,0.0000,27.0000
Midblock,15.0000,10.0000,1317.0000,30.0000,1.0000,81.0000
