,Truck,Motorcycle,Other,Pedestrian,Animal,Bike only
Traffic lights,0.0254,0.0127,0.9386,0.0148,0.0000,0.0085
Roundabout,0.0100,0.0120,0.9602,0.0040,0.0000,0.0139
Stop sign,0.0208,0.0119,0.9494,0.0089,0.0000,0.0089
Other intersection,0.0181,0.0097,0.9517,0.0060,0.0000,0.0145
Midblock,0.0337,0.0069,0.9052,0.0206,0.0007,0.0330
