,Traffic lights,Roundabout,Stop sign,Other intersection,Midblock
Truck,12.0000,5.0000,7.0000,15.0000,49.0000
Motorcycle,6.0000,6.0000,4.0000,8.0000,10.0000
Other,424.0000,485.0000,321.0000,803.0000,1317.0000
Pedestrian,7.0000,2.0000,3.0000,5.0000,30.0000
Animal,0.0000,0.0000,0.0000,0.0000,1.0000
Bike only,4.0000,7.0000,3.0000,12.0000,48.0000
