,10km/h,30km/h,40km/h,50km/h,60km/h,70km/h,80km/h,90km/h,100km/h,110km/h
Truck,0.0000,0.0000,6.0000,22.0000,26.0000,18.0000,7.0000,2.0000,2.0000,4.0000
Motorcycle,0.0000,0.0000,0.0000,15.0000,12.0000,5.0000,1.0000,0.0000,0.0000,0.0000
Other,1.0000,8.0000,167.0000,1657.0000,982.0000,367.0000,108.0000,15.0000,6.0000,7.0000
Pedestrian,1.0000,0.0000,7.0000,18.0000,9.0000,9.0000,2.0000,0.0000,0.0000,0.0000
Animal,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Bike only,0.0000,0.0000,5.0000,35.0000,22.0000,8.0000,2.0000,1.0000,0.0000,0.0000
